id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_customuser,Can add custom user
22,6,change_customuser,Can change custom user
23,6,delete_customuser,Can delete custom user
24,6,view_customuser,Can view custom user
25,7,add_admin,Can add Admin
26,7,change_admin,Can change Admin
27,7,delete_admin,Can delete Admin
28,7,view_admin,Can view Admin
29,8,add_parent,Can add Parent
30,8,change_parent,Can change Parent
31,8,delete_parent,Can delete Parent
32,8,view_parent,Can view Parent
33,9,add_teacher,Can add Teacher
34,9,change_teacher,Can change Teacher
35,9,delete_teacher,Can delete Teacher
36,9,view_teacher,Can view Teacher
37,10,add_student,Can add Student
38,10,change_student,Can change Student
39,10,delete_student,Can delete Student
40,10,view_student,Can view Student
41,11,add_token,Can add Token
42,11,change_token,Can change Token
43,11,delete_token,Can delete Token
44,11,view_token,Can view Token
45,12,add_tokenproxy,Can add Token
46,12,change_tokenproxy,Can change Token
47,12,delete_tokenproxy,Can delete Token
48,12,view_tokenproxy,Can view Token
49,13,add_classsubjectteacherassignment,Can add Phân công
50,13,change_classsubjectteacherassignment,Can change Phân công
51,13,delete_classsubjectteacherassignment,Can delete Phân công
52,13,view_classsubjectteacherassignment,Can view Phân công
53,14,add_grades,Can add Điểm
54,14,change_grades,Can change Điểm
55,14,delete_grades,Can delete Điểm
56,14,view_grades,Can view Điểm
57,15,add_lesson,Can add Lesson
58,15,change_lesson,Can change Lesson
59,15,delete_lesson,Can delete Lesson
60,15,view_lesson,Can view Lesson
61,16,add_period,Can add period
62,16,change_period,Can change period
63,16,delete_period,Can delete period
64,16,view_period,Can view period
65,17,add_plannedlesson,Can add Planned Lesson
66,17,change_plannedlesson,Can change Planned Lesson
67,17,delete_plannedlesson,Can delete Planned Lesson
68,17,view_plannedlesson,Can view Planned Lesson
69,18,add_semester,Can add Semester
70,18,change_semester,Can change Semester
71,18,delete_semester,Can delete Semester
72,18,view_semester,Can view Semester
73,19,add_room,Can add room
74,19,change_room,Can change room
75,19,delete_room,Can delete room
76,19,view_room,Can view room
77,20,add_seatingposition,Can add Seating Position
78,20,change_seatingposition,Can change Seating Position
79,20,delete_seatingposition,Can delete Seating Position
80,20,view_seatingposition,Can view Seating Position
81,21,add_device,Can add device
82,21,change_device,Can change device
83,21,delete_device,Can delete device
84,21,view_device,Can view device
85,22,add_attendance,Can add Điểm danh
86,22,change_attendance,Can change Điểm danh
87,22,delete_attendance,Can delete Điểm danh
88,22,view_attendance,Can view Điểm danh
89,23,add_category,Can add category
90,23,change_category,Can change category
91,23,delete_category,Can delete category
92,23,view_category,Can view category
93,24,add_document,Can add document
94,24,change_document,Can change document
95,24,delete_document,Can delete document
96,24,view_document,Can view document
