id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,contenttypes,contenttype
5,sessions,session
6,accounts,customuser
7,accounts,admin
8,accounts,parent
9,accounts,teacher
10,accounts,student
11,authtoken,token
12,authtoken,tokenproxy
13,adminpanel,classsubjectteacherassignment
14,adminpanel,grades
15,adminpanel,lesson
16,adminpanel,period
17,adminpanel,plannedlesson
18,adminpanel,semester
19,rooms,room
20,rooms,seatingposition
21,attendance,device
22,attendance,attendance
23,Appdocuments,category
24,Appdocuments,document
